view_id,view_name,content_url,workbook_id,workbook_name,project_name
db26d8b2-8aeb-4617-bdee-74f5486971c9,Sheet 1,BTVentas-3NORESERVA30dasdesdecarga/sheets/Sheet1,aa02fa1f-56fb-43f4-8fed-b8829048ad17,BT | Ventas -3 NO RESERVA +30 días desde carga,Validaciones
99d8c301-2213-4f2b-a3b6-7affa6f9b7b7,FIN_CAV_LOGS,CAV_RegistrosNoCargados/sheets/FIN_CAV_LOGS,4ef4ce80-056b-4873-8702-abca02b1aa8b,CAV_Registros No Cargados,Sistemas y tecnología
84d88062-7b6e-45d5-8535-f54945b1d6a3,FIN_REPORTE_CAV_LOGS,CAV_RegistrosNoCargados/sheets/FIN_REPORTE_CAV_LOGS,4ef4ce80-056b-4873-8702-abca02b1aa8b,CAV_Registros No Cargados,Sistemas y tecnología
a3af2ede-4c53-4172-8cc8-685a6a02b98d,Resumen  Casos,CHPYPA-CXPriorizacionCasos_V4/sheets/ResumenCasos,2b38c7c0-435e-49be-8a2a-86e831a18561,CH PY PA - CX Priorizacion Casos_V4,PYPACL
c6fcc32e-c89d-44d7-ad7c-59809c3da2aa,Resumen  Casos_sinasignar,CHPYPA-CXPriorizacionCasos_V4/sheets/ResumenCasos_sinasignar,2b38c7c0-435e-49be-8a2a-86e831a18561,CH PY PA - CX Priorizacion Casos_V4,PYPACL
f9f32cd9-51e2-49b0-bb85-bcda33fe808f,Resumen  Casos_solourgentes,CHPYPA-CXPriorizacionCasos_V4/sheets/ResumenCasos_solourgentes,2b38c7c0-435e-49be-8a2a-86e831a18561,CH PY PA - CX Priorizacion Casos_V4,PYPACL
e66ee700-f8fa-4209-9790-0634d25fc47e,FIN_CSV_Facturas,TESTCSVFacturasyPercepcionesAR/sheets/FIN_CSV_Facturas,1fa30f2a-6346-405e-9267-4bcc820869e9,CSV Facturas y Percepciones AR,Facturacion
26c4cc40-ec1e-4add-9b11-83f3d9919042,FIN_CSV_Percepciones,TESTCSVFacturasyPercepcionesAR/sheets/FIN_CSV_Percepciones,1fa30f2a-6346-405e-9267-4bcc820869e9,CSV Facturas y Percepciones AR,Facturacion
88893a9f-5035-4bc7-ac13-8827138c374a,Alerta asignacion-General,CX_Wise_Chats_v3-CH-PY-PA/sheets/Alertaasignacion-General,62575ffd-d165-4217-a896-7fc16a3bbfcb,CX_Wise_Chats_CL/PY/PA,CX Wise Chat OUT
8642c40b-e4e7-443c-a444-c39d569ddc44,Casos Cerrados General,CX_Wise_Chats_v3-CH-PY-PA/sheets/CasosCerradosGeneral,62575ffd-d165-4217-a896-7fc16a3bbfcb,CX_Wise_Chats_CL/PY/PA,CX Wise Chat OUT
40d03185-39c5-4a37-ae41-95ffef036c68,Cierre de turno,CX_Wise_Chats_v3-CH-PY-PA/sheets/Cierredeturno,62575ffd-d165-4217-a896-7fc16a3bbfcb,CX_Wise_Chats_CL/PY/PA,CX Wise Chat OUT
11dd7f9f-2a5e-4de0-bd7a-af925727f630,ClientesAtendidosHoraCC,CX_Wise_Chats_v3-CH-PY-PA/sheets/ClientesAtendidosHoraCC,62575ffd-d165-4217-a896-7fc16a3bbfcb,CX_Wise_Chats_CL/PY/PA,CX Wise Chat OUT
